Comment,Designator,Footprint,LCSC, Name, LCSC
"1000uF","C1","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","","C10752"
"100nF","C2","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","","","C353913"
"MountingHole","H1,H3,H2,H4,H5,H6","MountingHole:MountingHole_3.2mm_M3",""
"Conn_01x02","J1","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","","J_PWR",""
"Conn_01x02","J3,J2","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","","J_MAIN",""
"LM1117-5.0","U1","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
